id	mission_time	comms	speaker
25364	726	Apollo 11, this is Houston. You are confirmed GO for orbit.	CC
25365	732	Roger.	CDR
25366	744	Apollo 11, this is Houston. The booster is safe.	CC
25367	749	Roger.	CDR
25368	807	Apollo 11, this is Houston. The booster has been configured for orbital coast. Both spacecraft are looking good. Over.	CC
25369	815	Roger.	CDR
25370	873	Apollo 11, this is Houston. Vanguard LOS at 15 35; AOS Canaries at 16 30. Over.	CC
25371	883	Okay. Thank you.	CDR
25372	1058	... Houston COMM TECH. Canary COMM TECH.	CT
25373	1098	Apollo 11, this is Houston through Canary. Over.	CC
25374	1103	Roger. Reading you loud and clear. Our insertion checklist is complete, and we have no abnormalities.	CDR
25375	1110	Roger. And I'd like to pass up your Delta azimuth correction at this time if you're ready to copy.	CC
25376	1116	Stand by.	CDR
25377	1120	Roger. Go ahead. Ready to copy.	CDR
25378	1122	Okay. Delta azimuth correction is plus 0.22, that is plus 0.22, and we do recommend the P52 alignment. Over.	CC
25379	1134	Okay. We'll go ahead with the P52, and detecting angle plus 0.22.	CDR
25380	1149	23 37.	CDR
25381	1151	Houston. Roger. Out.	CC
25382	1361	Apollo 11, this is Houston. One minute to LOS Canary; A0S at Tananarive 37 04 in VHF Simplex Alfa. Over.	CC
25383	1388	Apollo 11, this is Houston. Coming up on LOS Canary; AOS Tananarive at 37 04, Simplex Alfa. Houston. Out.	CC
25384	1403	Apollo. Roger.	CDR
25385	2317	Apollo 11, this is Houston through Tananarive. Over.	CC
25386	2330	Apollo 11, Apollo 11, this is Houston through Tananarive. Over.	CC
25387	2344	Houston, Apollo 11. Read you on VHF A Simplex. How do you read? Over.	CDR
25388	2350	Roger, 11. This is Houston. We're reading you loud and fairly clearly. For your information, Canary radar shows you in a 103.0 by 103.0 orbit. Over.	CC
25389	2365	Beautiful.	CDR
25390	2367	Roger. We concur.	CC
25391	2371	... We're just coming into the terminator here.	CDR
25392	2504	Apollo 11, this is Houston. One minute to LOS Tananarive; AOS Carnarvon is at 52 15. Over.	CC
25393	2514	All alone. Roger.	CDR
25394	2593	TAN LOS.	CT
25395	3183	Apollo 11, this is Houston through Carnarvon. Over.	CC
25396	3188	Houston, Apollo 11. Loud and clear. Over.	LMP
25397	3191	Roger, 11. We're reading you the same. Both the booster and the spacecraft are looking good to us. Over.	CC
25398	3206	Houston, Apollo 11. Would you like to copy the alignment results?	LMP
25399	3211	That's affirmative.	CC
25400	3215	Okay. NOUN 71: we used 30 and 37, four balls 1; NOUN 93: plus 00016, plus 00033, plus 00152; GET 00 48 15; check star 34. Over.	LMP
25401	3242	Roger. Say again check star.	CC
25402	3246	Check star 34.	LMP
25403	3249	Roger. We copy. And the angles look good.	CC
25404	3253	And tell Glenn Parker down at the Cape that he lucked out.	CMP
25405	3257	Understand. Tell Glenn Parker he lucked out.	CC
25406	3262	Yes. He lucked out. He doesn't owe me a cup of coffee.	CMP
25407	3266	This is Houston. Roger. We'll pass it on.	CC
25408	3447	Apollo 11, this is Houston. One minute to LOS Carnarvon; AOS at Honeysuckle 59 33. Over.	CC
25409	3457	Apollo 11. Roger.	CDR
25410	3460	Roger. And we request you turn up S-band volume for the Honeysuckle pass.	CC
25411	3768	Apollo 11, Apollo 11, this is Houston on S-band. Radio check. Over.	CC
25412	3775	Roger, Houston. Apollo 11 reads you loud and clear.	CDR
25413	3778	This is Houston. Roger. Reading you the same. Out.	CC
25414	3864	Apollo 11, this is Houston. A little over 1 minute to LOS at Honeysuckle. You'll be AOS at Goldstone at 1 29 02; LOS at Goldstone 1 33 55. Over.	CC
25415	3887	Roger, Bruce. Thank you. We expect TV. We've got it all hooked up. We have not yet turned it on. We're ready to do that now.	CMP
25416	3895	Roger. We copy. We'll be configured and waiting for whatever you want to send down. GUAYMAS (REV 1)	CC
25417	5349	Apollo 11, this is Houston through Guaymas. Over.	CC
25418	5354	Roger, Houston. Reading you loud and clear.	CDR
25419	5357	Roger. Reading you the same. Coming up on AOS Goldstone.	CC
25420	5360	Roger.	CDR
25421	5367	Cecil B. deAldrin is standing by for instructions.	LMP
25422	5372	Houston. Roger.	CC
25423	5475	Apollo 11, this is Houston. We are not receiving your FM downlink yet. We are standing by.	CC
25424	5516	Apollo 11, this is Houston. We are receiving your FM downlink now. We are standing by for TV modulations on the signal.	CC
25425	5543	Apollo 11, Apollo 11, this is Houston. Radio check. Over.	CC
25426	5547	Roger. Loud and clear. We think we are transmitting to you.	CDR
25427	5551	Okay. We are not receiving it yet, 11, although we have confirmed presence of your FM downlink carrier.	CC
25428	5559	Which switches do you want us to confirm?	CDR
25429	5562	Stand by.	CC
25430	5591	Apollo 11, this is Houston. You were just on the fringes of coverage from Goldstone. We have just had LOS at Goldstone, and we'd like to push on and get the PAD messages read up to you here shortly.	CC
25431	5606	Roger. We are ready to copy.	CDR
25432	5673	Apollo 11, this is Houston. I am ready with your TLI-plus-90-minute abort PAD.	CC
25433	5695	Apollo 11, this is Houston. I am ready with your TLI-plus-90-minute abort PAD.	CC
25434	5700	Roger. Apollo 11 is ready to copy TLI plus 90.	CDR
25435	5703	Go.	CMP
25436	5705	Roger. TLI plus 90, SPS G&N: 63481, minus 153, plus 132; GETI 004 10 25 38; NOUN 81, minus 04761, plus 00001, plus 53361; roll 180 193 000; HA is NA; plus 00203 53573 633 53349, sextant star 33 1578 122. The boresight star is not available. Latitude minus 0252, minus 02580 11887 34345 016 03 50. GDC align Vega and Deneb. Roll 071 291 341. No ullage, undocked. I have your P37 for TLI plus 5 hours. Over.	CC
25437	5828	Go ahead, TLI plus 5.	CMP
25438	5831	Roger. P37 format, TLI plus 5: 00744 6485, minus 165, 02506. Read back. Over.	CC
25439	5851	Roger. TLI plus 90, SPS G&N: 63481, minus 153, plus 132, 004 l0 25 38, minus 04761, plus 00001, plus 53361, 180 193 000, not applicable, plus 00203 53573 633 53349, 33 1578 122, not available, minus 0252, minus 02580 11887 34345 016 03 50. Vega and Deneb, 071 291 341. No ullage, undocked. P37, TLI plus 5: 00744 6485, minus 165 02506. Over.	CMP
25440	5944	Apollo 11, this is Houston. Readback correct. For your information, Goldstone reports receiving approximately 1 minute of FM downlink carrier. We were getting ready to request you confirm on the S-band AUX switches, the S-band AUX tape switch to OFF and the S-band AUX TV switch to TV. Over.	CC
25441	5969	I confirm that that is the configuration we're in.	CDR
25442	5973	Roger. Let us do a little more detective work here and we'll see if we can come up with something.	CC
25443	5978	Okay.	CDR
25444	5994	Houston, Apollo 11 is ready to go ahead with the - extend the docking probe, and ready to go with the RCS hot fire when you're ready to monitor. Over.	CDR
25445	6006	Roger. Go ahead with the probe, now.	CC
25446	6013	Roger.	CDR
25447	6093	Okay. We're ready to - for the hot fire check when you're ready.	CDR
25448	6099	Roger. We're ready 11. Go ahead.	CC
25449	6108	Roger. Here's the pitch.	CDR
25450	6133	Apollo 11, this is Houston. We are seeing the pitch hot firing and it looks good.	CC
25451	6138	Roger. Be advised that we are unable to hear them.	CDR
25452	6142	Roger. We copy.	CC
25453	6144	Have you seen all three axes fire?	CDR
25454	6151	We've seen pitch and yaw; we've not seen roll to date.	CC
25455	6156	Okay. I'll put in a couple more rolls.	CDR
25456	6162	Okay. We've got the roll impulses, and you're looking good here.	CC
25457	6168	Roger. Houston, Apollo 11. We're standing by for a GO for sequence logic ON.	CDR
25458	6183	Apollo 11, this is Houston. Go ahead and we'll watch you on TM.	CC
25459	6187	Okay. Sequence logic, two of them. Sequence logic 1 and 2 coming up and ON.	CDR
25460	6216	Apollo 11, this Houston. You are GO for RYRO ARM.	CC
25461	6220	Roger. Thank you.	CDR
25462	6237	Apollo 11, this is Houston. If you will give us P00 in ACCEPT, we have a state vector update for you.	CC
25463	6244	Roger.	CDR
25464	6257	You have P00 in ACCEPT.	CDR
25465	6259	Roger. It will probably be another 10 or 15 seconds. We're going to go up through the Vanguard. When you are ready to copy, I have your TLI PAD.	CC
25466	6266	Roger. Ready to copy TLI PAD.	CMP
25467	6270	Roger. TLI: 23514 179 071 001, burn time 547 104356 35575. Roll for SEP 357 107 041, 301 287 319. TLI 10-minute abort pitch, 223. Read back. Over.	CC
25468	6323	Roger. TLI PAD: 23514 179 071 001 547 104356 35575 357 107 041 301 287 319. TLI 1O-minute abort pitch, 223. Over.	CMP
25469	6363	Apollo 11, this is Houston. Roger. Would you read back DELTA-VC prime again? You were cut out by some noise.	CC
25470	6369	Okay. Roger. I'm picking up the squeal here, also. DELTA-VC 104356. Over.	CMP
25471	6385	Apollo 11, this is Houston. Readback correct. Out.	CC
25472	6426	Apollo 11, this is Houston. We've completed the uplink; the computer is yours. You can go back to BLOCK. Would you verify that you have extended the probe? Over.	CC
25473	6436	Roger. That's verified; the probe is extended.	CDR
25474	6439	Roger. About 2 minutes to LOS on this stateside pass. AOS Canaries at 1 50 13. Over.	CC
25475	6448	Roger. 1 50.	CDR
25476	6642	Apollo 11, this is Houston. Over.	CC
25477	6645	Roger. Houston, Apollo 11. Loud and clear.	CDR
25478	6649	Okay. On your service module RCS quad Bravo package temperature, we're showing it running a little low. Looks like about 20 degrees low - lower than the rest of the quads. Would you confirm that your RCS heater switch for quad Bravo is in PRIMARY? Over.	CC
25479	6669	You're correct. It was not in PRIMARY. It was off. It's on now. Thank you.	CDR
25480	6676	Roger. Thank you.	CC
25481	6830	Apollo 11, this is Houston. Over.	CC
25482	6834	Houston, Apollo 11. Go ahead.	CMP
25483	6836	Roger. We've checked over the spacecraft and the launch vehicle guidance. They're both looking to be in good shape. We estimate you have better than a 99-percent probability of a guidance cut-off on the launch vehicle, so things are apparently holding in very well. For your information, MILA received approximately 1 minute of a usable TV picture, so apparently the system is working. And you're a little over a minute from LOS at Canary; AOS Tananarive is 2 hours 9 minutes and 18 seconds. Over.	CC
25484	6874	Roger. We like those 99 numbers. Thank you.	CMP
25485	6878	Roger. 0ut.	CC
25486	7757	Apollo 11, this is Houston through Tananarive. How do you read?	CC
25487	7785	Apollo 11, this is Houston standing by through Tananarive.	CC
25488	7803	Tananarive, Houston COMM TECH NET 1.	CT
25489	7812	Tananarive, Houston COMM TECH NET 1.	CT
25490	7823	Goddard voice, Houston COMM TECH NET 1.	CT
25491	7827	Goddard voice, reading you loud and clear.	MS
25492	7829	Roger. We cannot raise Tananarive.	CT
25493	7831	Houston COMM TECH, Tananarive.	CT
25494	7834	Roger, Tananarive. Are you receiving CAP COMM's voice, and are you uplinking it?	CT
25495	7839	Negative.	CT
25496	7841	Roger. Monitor again and I'll tell CAP C0MM to make one more transmission.	CT
25497	7851	Roger.	CT
25498	7856	Apollo 11, Apollo 11, this is Houston standing by through Tananarive. Over.	CC
25499	7864	Houston, Apollo 11 ...	CDR
25500	7866	Roger. Reading you loud and clear.	CC
25501	7955	Houston, Apollo 11. We have the PYRO's armed.	CDR
25502	7959	This is Houston. Roger. Out.	CC
25503	8123	Apollo 11, this is Houston. One minute to LOS Tananarive; AOS at Carnarvon 02 25 30.	CC
25504	8135	Roger.	CDR
25505	8744	Apollo 11, this is Houston through Carnarvon. Radio check. Over.	CC
25506	8749	Roger, Houston through Carnarvon. Apollo 11. Loud and clear.	CDR
25507	8753	Roger. You're coming in very loud and very clear, here. Out.	CC
25508	8798	Apollo 11, this is Houston. You are GO for TLI. Over.	CC
25509	8805	Apollo 11. Thank you.	CMP
25510	8808	Roger. Out.	CC
25511	9011	Apollo 11, this is Houston. Over.	CC
25512	9016	Houston, 11.	CDR
25513	9018	Roger. We'll be coming within range of the ARIA aircraft coverage, here, in about 1 minute. They're going to try uplinking both on S-band and on VHF this time. So if you turn your - make sure your S-band volume is turned up, we'd appreciate it. And we believe that we'll have continuous coverage from now on through the TLI burn. Over.	CC
25514	9042	Very good.	CDR
25515	9140	Apollo 11, Apollo 11, this is Houston through ARIA 4. Radio check. Over.	CC
25516	9148	Houston, we read you strength 4 and a little scratchy.	LMP
25517	9154	Roger. We're reading you strength 5, readability about 3. Should be quite adequate.	CC
25518	9162	Apollo 11, Apollo 11, this is Houston. We're reading you readability about 3, strength 5. Sounds pretty good. Over.	CC
25519	9174	Roger. We've got a little static in the background now.	CDR
25520	9441	Apollo 11, this is Houston through ARIA 3. Radio cheek. Over.	CC
25521	9446	Roger, Houston, Apollo 11. You are much clearer and adequately loud. Over.	CDR
25522	9452	Roger, 11, You are coming in five-by-five here. Beautiful signal.	CC
25523	9458	This is a lot better than this static we had previously.	CDR
25524	9468	And we got the time base fix indication on time.	CMP
25525	9470	This is Houston. Roger. Out.	CC
25526	9620	Apollo 11, this is Houston. We just got telemetry back down on your booster, and it is looking good.	CC
25527	9630	Roger. Everything looks good here.	CDR
25528	9634	Houston, Roger. Out.	CC
25529	9798	Apollo 11, this is Houston. Slightly less than 1 minute to ignition, and everthing is GO.	CC
25530	9805	Roger.	CMP
25531	9859	Ignition.	CMP
25532	9867	We confirm ignition, and the thrust is GO.	CC
25533	9914	Apollo 11, this is Houston at 1 minute. Trajectory and guidance look good, and the stage is good. Over.	CC
25534	9923	Apollo 11. Roger.	CDR
25535	9986	Apollo 11, this is Houston. Thrust is good. Everything's still looking good.	CC
25536	9992	Roger.	CDR
25537	10074	Apollo 11, this is Houston. Around 3-1/2 minutes. You're still looking good. Your predicted cut-off is right on the nominal.	CC
25538	10084	Roger. Apollo 11 is GO.	CDR
25539	10158	Apollo 11, this is Houston. You are GO at 5 minutes.	CC
25540	10162	Roger. We're GO.	CDR
25541	10236	Apollo 11, this is Houston. We show cut-off and we copy the numbers in NOUN 62.	CC
25542	10254	Apollo 11, Houston. Do you read?	CC
25543	10288	Apollo 11, this is Houston. Do you read? Over.	CC
25544	10281	Roger, Houston. Apollo 11. We're reading a VI of 35579 and the EMS was plus 3.3. Over.	LMP
25545	10291	Roger. Plus 3.3 on the EMS. And we copy the VI.	CC
25546	10383	Hey, Houston, Apollo 11. That Saturn gave us a magnificent ride.	CDR
25547	10410	We have no complaints with any of the three stages on that ride. It was beautiful.	CDR
25548	10418	Roger. We copy. No transients at staging of any significance. Over.	CC
25549	10424	That's right. It was all - all a good ride.	CDR
25550	10427	Houston. Roger. Out.	CC
25551	10449	Apollo 11, this is Houston. For your information, we expect the maneuver to separation attitude to begin at 3 plus 05 plus 03, and to be completed at plus 09 plus 20. Separation at 3 plus 15 plus 00.	CC
25552	10473	Roger. Time to begin maneuver is 3 05 03, complete 3 09 20. Separation 3 plus 15 00.	CDR
25553	10486	Roger. That separation should be 3 plus 15 03. My error in reading up.	CC
25554	10495	Roger.	CDR
25555	10518	Apollo 11, this is Houston. All the booster functions are proceeding normally. The sequencing is in good shape, and it doesn't look like they are having any problems at all. Over.	CC
25556	10528	Roger.	CDR
25557	11128	Apollo 11, this is Houston. Our preliminary data indicates a good cut-off on the S-IVB. We'll have some more trajectory data for you in about half an hour. Over.	CC
25558	11341	Apollo 11, Apollo 11, this is Houston. Over.	CC
25559	11356	Apollo 11, Apollo 11, this is Houston. Over.	CC
25560	11371	Hello, Houston. Hello, Houston. This is Apollo 11. I'm reading you loud and clear. Go ahead. Over.	CDR
25561	11377	Roger, 11. This is Houston. We had to shift stations. We weren't reading you through Goldstone. We show PYR0 bus A armed and PYRO bus B not armed at the present time. Over.	CC
25562	11390	That's affirmative, Houston. That's affirmative.	CDR
25563	11394	Roger.	CC
25564	11648	Apollo 11, this is Houston. You're GO for separation. Our systems recommendation is arm both PYRO buses. Over.	CC
25565	11659	Okay. PYRO B coming armed. My intent is to use bottle primary 1, as per the checklist; therefore, I just turned A on.	CDR
25566	11666	Roger. We concur with the logic.	CC
25567	11819	Houston, we're about to SEP.	CDR
25568	11822	This is Houston. We copy.	CC
25569	11829	SEP is complete.	CDR
25570	11832	Roger.	CC
25571	11852	... and primary and secondary propellant B went ... SEP.	CDR
25572	11860	That was secondary propellant on quad Bravo?	CC
25573	11865	Quad Bravo, yes. Both the primary and secondary ...	CDR
25574	11872	Roger. We copy.	CC
25575	12127	Apollo 11, this is Houston. Radio check. Over.	CC
25576	12236	Apollo 11, Apollo 11, this is Houston broadcasting in the blind. Request OMNI Bravo if you read us. Request OMNI Bravo. Out.	CC
25577	12253	Apollo 11, this is Houston. How do you read?	CC
25578	12349	Apollo 11, this is Houston. How do you read? Over.	CC
25579	12407	Apollo 11, Apollo 11, this is Houston. Do you read? 0ver.	CC
25580	12474	Apollo 11, this is Houston. Radio check. Over.	CC
25581	12491	Apollo 11, Apollo 11, this is Houston. Radio check. Over.	CC
25582	12560	Apollo 11, this is Houston. Radio check. Over.	CC
25583	12564	Roger. ...	CDR
25584	12566	Roger. We're copying you about five-by-two, very weak. Can you give us a status report, please?	CC
25585	12575	Roger. We are docked. We do have acquisition with the high gain at this time, I think.	CDR
25586	12584	Understand you are using the high gain. Over.	CC
25587	12588	That's affirmative.	CDR
25588	12589	That's affirmative.	LMP
25589	12591	Roger. I read you very loud and clear, Buzz. Mike is pretty weak.	CC
25590	12600	Roger. We've got the high gain locked on, now, I believe; AUTO tracking now.	LMP
25591	12605	Okay. You're coming in loud and clear, but Mike is just barely readable.	CC
25592	12612	That was Neil. How are you reading Mike?	CMP
25593	12615	Loud and clear now, Mike, and we understand that you are docked.	CC
25594	12619	That's affirmative.	CMP
25595	12624	Houston, CDR. How do you read ...?	CDR
25596	12628	11, CDR, loud and clear, Neil.	CC
25597	12630	Okay.	CDR
25598	12760	11, this is Houston. Over.	CC
25599	12764	Houston, Apollo 11. Go ahead.	CDR
25600	12766	Roger. When you commented on that quad Bravo problem at separation, you were a little weak. Could you go through what you did after you noticed the talkbacks barber pole again, please?	CC
25601	12800	We copied the - the primary and secondary propellant talkbacks on SM RCS quad Bravo 1 to barber pole on separation.	CC
25602	12810	Roger. Roger. That is affirmative, and we moved that switch to the OPEN position, and they went back to gray. Over.	CDR
25603	12819	Roger.	CC
25604	13071	Apollo 11, this is Houston. Over.	CC
25605	13076	Roger, Houston. Apollo 11. Go ahead.	CMP
25606	13078	Roger. Could you give us comments on how the transposition and docking went? Over.	CC
25607	13087	I thought it went pretty well, Houston, although I expect I used more gas than I've been using in the simulator. The turnaround maneuver - I went PITCH ACEL COMMAND and started to pitch up, and then when I put MANUAL, ATTITUDE PITCH back to RATE COMMAND for some reason it - it stopped its pitch rate, and I had to go back to ACCEL COMMAND and hit what I thought was an extra PROCEED on the DSKY. During the course of that, we drifted slightly further away from the S IVB than I expected. I expected to be out about 66 feet. My guess would be I was around 100 or so; and therefore, I expect I used a bit more coming back in. But, except for using a little more gas - And I'd be interested in your numbers on that - everything went nominally.	CMP
25608	13133	This is Houston. Roger. We copy.	CC
25609	13425	Houston, Apollo 11. Over.	CMP
25610	13427	Go ahead, 11.	CC
25611	13430	Roger. We're working on the pressurization of the LM now, and working off the decal with CSM-LM pressure equalization. And we're down to step 13, where we're waiting for the cabin pressure to be 5, or it should be roughly 5, before we turn the REPRESS package O2 valve to FILL. Instead of 5, we're running about 4.4. Over.	CMP
25612	13456	Roger. Stand by a second.	CC
25613	13495	And Houston, Apollo 11. We did put the REPRESS package O2 valve to FILL momentarily there at step 13, and we have filled the bottles back up partially. What's the pressure reading in there, Neil?	CMP
25614	13517	We have about 450 psi now in the three 1-pound bottles.	CMP
25615	13523	Roger. Stand by a second, please.	CC
25616	13525	Roger. Standing by. The REPRESS package valve is now in the OFF position. What's the cabin pressure now, Buzz? Cabin pressure is now 4.5.	CMP
25617	13669	Houston, Apollo 11. We think these readings are within normal tolerances. We just wanted to get your concurrence before we press down any further with these decals.	CDR
25618	13681	Okay, Captain.	CC
25619	13708	Houston, Apollo 11. How do you read?	LMP
25620	13712	Apollo 11, this is Houston. Go ahead.	CC
25621	13715	Roger. LM looks to be in pretty fine shape from about all we can see from here.	LMP
25622	13723	Okay. In reference to your question on this step 13 on the decal, I understand that you have used up the contents of the REPRESS O2 package and at that time, instead of being up to 5 psi, you were reading 4.4. Is that correct?	CC
25623	13747	Okay. 4.4. Yes sir.	CMP
25624	13751	Okay. And you want to know if you can go ahead and use additional oxygen to bring the command module up to 5.0 and continue the equalization? Over.	CC
25625	13760	Yes. We think it's within normal tolrarances, Bruce. We just wanted to get your concurrence before we press on with this procedure.	CMP
25626	13773	Roger, Apollo 11. Go ahead.	CC
25627	13777	Okay. We're pressing on with the procedure.	CMP
25628	13780	And 11, Houston. We have a request for you. On the service module secondary propellant fuel pressurization valve: As a precautionary measure, we'd like you to momentarily cycle the four switches to the CLOSE position and then release. As you know, we have no TM or talkback on these valve positions, and it's conceivable that one of them might also have been moved into a different position by the shock of separation. Over.	CC
25629	13811	Okay. Good idea. That's being done.	CMP
25630	13814	Houston. Roger. Out.	CC
25631	13829	Apollo 11, Houston. We're doing a nonpropulsive vent on the booster at the present time. You may see some sort of a cloud coming out of it. When you're ready, I have your evasive maneuver PAD.	CC
25632	13844	Roger, And it's coming out.	CDR
25633	13848	Roger. Out,	CC
25634	13850	It's a haze. It's going by toward our minus-X direction, and several small particles are moving along with it. The actual velocity is fairly high - at least it appears to be high. And we've got an O2 high - it's a little high right now.	CDR
25635	13873	Houston. Roger. Out.	CC
25636	13985	And, Houston, you, might be interested that out my left-hand window right now, I can observe the entire continent of North America, Alaska, and over the Pole, down to the Yucatan Peninsula, Cuba, northern part of South America, and then I run out of window.	CDR
25637	14007	Roger, We copy.	CC
25638	14232	Houston, Apollo 11. All 12 latches are locked.	LMP
25639	14236	Roger. 11, this is Houston. Understand 12 latches locked.	CC
25640	14343	11, Houston. Whenever you're possessed of a free moment there, we've got this evasive maneuver PAD.	CC
25641	14352	Okay.	LMP
25642	14360	Go ahead, Houston. Apollo 11 is ready to copy.	LMP
25643	14364	Apollo 11, this is Houston. Evasive maneuver SPS G&N: 63481, plus 095, minus 020; GETI 004 40 0100, plus 00051, plus all balls, plus 00190; roll is your option, pitch 213 357; NOUN 44 is NA; DELTA-VT is 00197 003 00152. The rest of the PAD is NA. No ullage. LM weight 33,290. Read back. Over.	CC
25644	14483	Apollo 11, this is Houston. Standing by for your readback. Over.	CC
25645	14526	11, Houston. Do you read? Over.	CC
25646	14545	Apollo 11, this is Houston. Do you read? Over.	CC
25647	14551	All of a sudden there, we heard a little click, and the signal strength began to start dropping off. Your transmissions were cut off very abruptly. How do you read now?	LMP
25648	14562	Roger. Loud and clear. We had a handover to Madrid about the time I was - I guess halfway through the PAD. If you could give me the last value you read, I'll pick up there. Over.	CC
25649	14572	Okay. Start with DELTA-VZ. Over.	LMP
25650	14576	Roger. DELTA-VZ is plus 00190, roll your option, pitch 213 357, and NOUN 44 is NA. DELTA-VT 00197 003 00152. The rest of the PAD is NA, and no ullage. LM weight 33,290. Read back. Over.	CC
25651	14621	Roger, Houston. Evasive maneuver SPS G&N: 63481, plus 095, minus 020 004 40 0100, plus 00051, plus all zeros, plus 00190, roll crew option, 213 357, NA, 00197 003 00152, no ullage, LM weight 33,290. Over.	LMP
25652	14667	11, this is Houston. Readback correct. Out.	CC
25653	15213	Houston, Apollo 11.	CDR
25654	15216	Go ahead, 11.	CC
25655	15217	We'd like to arm our logic switches.	CDR
25656	15222	Go ahead with the logic.	CC
25657	15225	Okay. Mark logic 1 and 2 armed.	CDR
25658	15239	Roger. We show the logic arm, and you're GO for PYR0 arm.	CC
25659	15398	Houston, we're ready for LM ejection.	CDR
25660	15405	Roger. You're GO for LM ejection.	CC
25661	15408	Thank you.	CDR
25662	15433	Houston, we are SEP. We have a CRYO PRESS light.	CDR
25663	15438	Roger. Copy. CRY0 PRESS light.	CC
25664	15466	Roger, 11. We reconmend you turn the O2 fans on manually and ensure that the O2 heaters are in the AUTOMATIC position.	CC
25665	15477	Roger. O2 heaters are ON, and we're going to cycle the O2 fans now.	CDR
25666	15482	Roger. O2 heaters to AUTO, or you can watch them in the ON position, and O2 fans manual ON.	CC
25667	16096	Apollo 11, this ls Houston. Over.	CC
25668	16101	Houston, Apollo ll.	CMP
25669	16103	Roger. In reference to your question on RCS usage: it looks like you are about 18, maybe 20 pounds below nominal at the present time. No problem at all. Over.	CC
25670	16115	Right.	CMP
25671	16125	I wanted to be 18 or 20 pounds above nominal, babe.	CMP
25672	16129	Sorry about that.	CC
25673	16660	11, Houston. Your systems are looking good. We're standing by for the burn.	CC
25674	16842	Houston, Apollo 11. Could you confirm that pitch gimbal motor number 1 turned off? We just shut all four off, and we got a questionable indication on the ECS on pitch 1.	CMP
25675	16861	Roger. Stand by a second.	CC
25676	16882	Houston, did you copy our residuals?	CMP
25677	16884	Apollo 11, this is Houston. Stand by, please.	CC
25678	16893	Go ahead, Houston. Did you copy our residuals?	CMP
25679	16897	Roger. We got 00 and 0.2, it looks like.	CC
25680	16902	We had 0.1 while ago. It's - just went to 0.2.	CMP
